Clinton (D)	Date	MoE	Poll	Sample	Spread	State	State_Fips	Trump (R)
44.0	5/16 - 5/19	3.7	CBS News/YouGovCBS/YouGov	992 LV	Clinton +5	Ohio	OH	39.0
39.0	4/27 - 5/8	3.0	QuinnipiacQuinnipiac	1042 RV	Trump +4	Ohio	OH	43.0
45.0	4/26 - 4/27	3.2	PPP (D)PPP (D)	799 RV	Clinton +3	Ohio	OH	42.0
48.0	3/4 - 3/10	2.2	NBC/WSJ/MaristNBC/WSJ	2052 RV	Clinton +6	Ohio	OH	42.0
45.0	3/3 - 3/4	2.8	PPP (D)PPP (D)	1248 RV	Clinton +5	Ohio	OH	40.0
50.0	3/2 - 3/6	3.5	CNN/ORCCNN/ORC	884 RV	Clinton +7	Ohio	OH	43.0
42.0	2/16 - 2/20	2.5	QuinnipiacQuinnipiac	1539 RV	Trump +2	Ohio	OH	44.0
43.0	9/25 - 10/5	2.9	QuinnipiacQuinnipiac	1180 RV	Clinton +1	Ohio	OH	42.0
43.0	8/7 - 8/18	3.0	QuinnipiacQuinnipiac	1096 RV	Clinton +5	Ohio	OH	38.0
43.0	5/16 - 5/19	4.0	CBS News/YouGovCBS News/YouGov	995 LV	Clinton +1	Florida	FL	42.0
46.0	5/17 - 5/18	2.0	GravisGravis	2542 RV	Clinton +4	Florida	FL	42.0
43.0	4/27 - 5/8	3.0	QuinnipiacQuinnipiac	1051 RV	Clinton +1	Florida	FL	42.0
49.0	4/25 - 4/27	5.0	AIF (R)**AIF (R)**	604 LV	Clinton +13	Florida	FL	36.0
49.0	3/4 - 3/10	2.0	NBC/WSJ/MaristNBC/WSJ/Marist	2422 RV	Clinton +8	Florida	FL	41.0
44.0	3/4 - 3/6	2.3	News 13/SurveyUSANews 13/SurveyUSA	1961 LV	Trump +1	Florida	FL	45.0
50.0	3/2 - 3/6	3.5	CNN/ORCCNN/ORC	854 RV	Clinton +7	Florida	FL	43.0
44.0	2/24 - 2/25	3.1	PPP (D)PPP (D)	1012 RV	Trump +2	Florida	FL	46.0
