state,fips,url
Ohio,OH,http://www.realclearpolitics.com/epolls/2016/president/oh/ohio_trump_vs_clinton-5634.html
Florida,FL,http://www.realclearpolitics.com/epolls/2016/president/fl/florida_trump_vs_clinton-5635.html
Pennsylvania,PA,http://www.realclearpolitics.com/epolls/2016/president/pa/pennsylvania_trump_vs_clinton-5633.html
Michigan,MI,http://www.realclearpolitics.com/epolls/2016/president/mi/michigan_trump_vs_clinton-5533.html
North Carolina,NC,http://www.realclearpolitics.com/epolls/2016/president/nc/north_carolina_trump_vs_clinton-5538.html
Georgia,GA,http://www.realclearpolitics.com/epolls/2016/president/ga/georgia_trump_vs_clinton-5741.html
New Hampshire,NH,http://www.realclearpolitics.com/epolls/2016/president/nh/new_hampshire_trump_vs_clinton-5596.html
Missouri,MO,http://www.realclearpolitics.com/epolls/2016/president/mo/missouri_trump_vs_clinton-5609.html
Indiana,IN,http://www.realclearpolitics.com/epolls/2016/president/in/indiana_trump_vs_clinton-5878.html
Wisconsin,WI,http://www.realclearpolitics.com/epolls/2016/president/wi/wisconsin_trump_vs_clinton-5659.html
Colorado,CO,http://www.realclearpolitics.com/epolls/2016/president/co/colorado_trump_vs_clinton-5751.html
Arizona,AZ,http://www.realclearpolitics.com/epolls/2016/president/az/arizona_trump_vs_clinton-5832.html
Oregon,OR,http://www.realclearpolitics.com/epolls/2016/president/or/oregon_trump_vs_clinton-5892.html
